itemid,label,fluid,category,count,min,max,linksto,param_type,unitname
50821,pO2,Blood,Blood Gas,511637,___,99,mimiciv_hosp.labevents,,mm Hg
50822,"Potassium, Whole Blood",Blood,Blood Gas,246906,___,9.6,mimiciv_hosp.labevents,,mEq/L
50823,Required O2,Blood,Blood Gas,12577,___,99,mimiciv_hosp.labevents,,
50824,"Sodium, Whole Blood",Blood,Blood Gas,112302,___,3.4,mimiciv_hosp.labevents,,mEq/L
50825,Temperature,Blood,Blood Gas,102106,___,57,mimiciv_hosp.labevents,,
50826,Tidal Volume,Blood,Blood Gas,48627,0,999,mimiciv_hosp.labevents,,
50827,Ventilation Rate,Blood,Blood Gas,53687,___,9/ .,mimiciv_hosp.labevents,,
50828,Ventilator,Blood,Blood Gas,56657,CONTROLLED.,SPONTANEOUS.,mimiciv_hosp.labevents,,
50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,2,43.0,47.0,mimiciv_hosp.labevents,,mm Hg
50831,pH,Other Body Fluid,Blood Gas,5284,___,7.97,mimiciv_hosp.labevents,,units
50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas,2,133.0,141.0,mimiciv_hosp.labevents,,mm Hg
50835,"Albumin, Ascites",Ascites,Chemistry,3923,___,7.7,mimiciv_hosp.labevents,,g/dL
50836,"Amylase, Ascites",Ascites,Chemistry,3214,___,997,mimiciv_hosp.labevents,,IU/L
50837,"Bicarbonate, Ascites",Ascites,Chemistry,29,___,9,mimiciv_hosp.labevents,,mEq/L
50838,"Bilirubin, Total, Ascites",Ascites,Chemistry,1992,___,9.8,mimiciv_hosp.labevents,,mg/dL
50839,"Chloride, Ascites",Ascites,Chemistry,32,___,96,mimiciv_hosp.labevents,,mEq/L
50840,"Cholesterol, Ascites",Ascites,Chemistry,46,___,9,mimiciv_hosp.labevents,,mg/dL
50841,"Creatinine, Ascites",Ascites,Chemistry,1987,___,9.8,mimiciv_hosp.labevents,,mg/dL
50842,"Glucose, Ascites",Ascites,Chemistry,4773,___,99,mimiciv_hosp.labevents,,mg/dL
50843,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,3542,___,998,mimiciv_hosp.labevents,,IU/L
50844,"Lipase, Ascites",Ascites,Chemistry,88,___,986,mimiciv_hosp.labevents,,U/L
50845,"Miscellaneous, Ascites",Ascites,Chemistry,5,___,___,mimiciv_hosp.labevents,,
50846,"Osmolality, Ascites",Ascites,Chemistry,7,___,320,mimiciv_hosp.labevents,,mOsm/kg
50847,"Potassium, Ascites",Ascites,Chemistry,35,___,8.7,mimiciv_hosp.labevents,,mEq/L
50848,"Sodium, Ascites",Ascites,Chemistry,48,___,150,mimiciv_hosp.labevents,,mEq/L
50849,"Total Protein, Ascites",Ascites,Chemistry,7244,___,9.2,mimiciv_hosp.labevents,,g/dL
50850,"Triglycerides, Ascites",Ascites,Chemistry,418,___,976,mimiciv_hosp.labevents,,mg/dL
50851,"Urea Nitrogen, Ascites",Ascites,Chemistry,21,10,7,mimiciv_hosp.labevents,,mg/dL
50852,% Hemoglobin A1c,Blood,Chemistry,223244,___,___,mimiciv_hosp.labevents,,%
50853,25-OH Vitamin D,Blood,Chemistry,77547,___,99,mimiciv_hosp.labevents,,ng/mL
50854,Absolute A1c,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50855,Absolute Hemoglobin,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50856,Acetaminophen,Blood,Chemistry,3950,___,POS,mimiciv_hosp.labevents,,ug/mL
50857,Acetone,Blood,Chemistry,8,___,NEG,mimiciv_hosp.labevents,,N/A
50857,Acetone,Blood,Chemistry,103,___,POS,mimiciv_hosp.labevents,,
50861,Alanine Aminotransferase (ALT),Blood,Chemistry,1342052,___,999,mimiciv_hosp.labevents,,IU/L
50862,Albumin,Blood,Chemistry,749800,___,9.4,mimiciv_hosp.labevents,,g/dL
50863,Alkaline Phosphatase,Blood,Chemistry,1171284,___,999,mimiciv_hosp.labevents,,IU/L
50864,Alpha-Fetoprotein,Blood,Chemistry,29539,___,___,mimiciv_hosp.labevents,,ng/mL
50865,Amikacin,Blood,Chemistry,476,___,___,mimiciv_hosp.labevents,,ug/mL
50866,Ammonia,Blood,Chemistry,6262,___,99,mimiciv_hosp.labevents,,umol/L
50867,Amylase,Blood,Chemistry,82593,___,998,mimiciv_hosp.labevents,,IU/L
50868,Anion Gap,Blood,Chemistry,2965414,___,91,mimiciv_hosp.labevents,,mEq/L
50869,Anti-DGP (IgA/IgG),Blood,Chemistry,1339,___,___,mimiciv_hosp.labevents,,units
50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry,109,___,___,mimiciv_hosp.labevents,,units
50871,Anti-Mitochondrial Antibody,Blood,Chemistry,1670,___,___,mimiciv_hosp.labevents,,N/A
50871,Anti-Mitochondrial Antibody,Blood,Chemistry,4248,___,___,mimiciv_hosp.labevents,,
50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,1730,___,___,mimiciv_hosp.labevents,,N/A
50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,4848,___,___,mimiciv_hosp.labevents,,
50873,Anti-Nuclear Antibody,Blood,Chemistry,5780,___,___,mimiciv_hosp.labevents,,N/A
50873,Anti-Nuclear Antibody,Blood,Chemistry,20612,___,___,mimiciv_hosp.labevents,,
50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,0,,,mimiciv_hosp.labevents,,N/A
50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,1,___,___,mimiciv_hosp.labevents,,
50875,Anti-Parietal Cell Antibody,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,N/A
50875,Anti-Parietal Cell Antibody,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50876,Anti-Smooth Muscle Antibody,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,N/A
50876,Anti-Smooth Muscle Antibody,Blood,Chemistry,1,POS,POS,mimiciv_hosp.labevents,,
50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry,569,___,99,mimiciv_hosp.labevents,,IU/mL
50878,Asparate Aminotransferase (AST),Blood,Chemistry,1320657,___,999,mimiciv_hosp.labevents,,IU/L
50879,Barbiturate Screen,Blood,Chemistry,1,NEG,NEG,mimiciv_hosp.labevents,,N/A
50879,Barbiturate Screen,Blood,Chemistry,57243,-65,POS,mimiciv_hosp.labevents,,
50880,Benzodiazepine Screen,Blood,Chemistry,1,NEG,NEG,mimiciv_hosp.labevents,,N/A
50880,Benzodiazepine Screen,Blood,Chemistry,57348,___,POS,mimiciv_hosp.labevents,,
50881,Beta-2 Microglobulin,Blood,Chemistry,8092,___,9.9,mimiciv_hosp.labevents,,mg/L
50882,Bicarbonate,Blood,Chemistry,2972049,___,45,mimiciv_hosp.labevents,,mEq/L
50883,"Bilirubin, Direct",Blood,Chemistry,77442,___,9.9,mimiciv_hosp.labevents,,mg/dL
50884,"Bilirubin, Indirect",Blood,Chemistry,86373,___,9.9,mimiciv_hosp.labevents,,mg/dL
50885,"Bilirubin, Total",Blood,Chemistry,1158743,___,9.9,mimiciv_hosp.labevents,,mg/dL
50887,Blue Top Hold,Blood,Chemistry,274679,___,HOLD.  DISCARD GREATER THAN 24 HRS OLD.,mimiciv_hosp.labevents,,
50888,Blue Top Hold Frozen,Blood,Chemistry,306,___,HOLD.,mimiciv_hosp.labevents,,
50889,C-Reactive Protein,Blood,Chemistry,31,___,7.7,mimiciv_hosp.labevents,,
50889,C-Reactive Protein,Blood,Chemistry,117867,___,99.9,mimiciv_hosp.labevents,,mg/L
50890,C3,Blood,Chemistry,11240,___,99,mimiciv_hosp.labevents,,mg/dL
50891,C4,Blood,Chemistry,11603,___,9,mimiciv_hosp.labevents,,mg/dL
50892,CA-125,Blood,Chemistry,13664,___,___,mimiciv_hosp.labevents,,U/mL
50893,"Calcium, Total",Blood,Chemistry,2190520,___,9.9,mimiciv_hosp.labevents,,mg/dL
50894,Calculated Free Testosterone,Blood,Chemistry,6661,0.15,9.9,mimiciv_hosp.labevents,,pg/mL
50895,Calculated TBG,Blood,Chemistry,7909,___,1.60,mimiciv_hosp.labevents,,Ratio
50896,Calculated Thyroxine (T4) Index,Blood,Chemistry,7876,0.4,99.3,mimiciv_hosp.labevents,,ug/dL
50898,Cancer Antigen 27.29,Blood,Chemistry,9863,___,___,mimiciv_hosp.labevents,,U/mL
50899,Carbamazepine,Blood,Chemistry,2678,___,9.9,mimiciv_hosp.labevents,,ug/mL
50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry,37787,___,___,mimiciv_hosp.labevents,,ng/mL
50901,Centromere,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,N/A
50901,Centromere,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50902,Chloride,Blood,Chemistry,3083234,___,99.7,mimiciv_hosp.labevents,,mEq/L
50903,Cholesterol Ratio (Total/HDL),Blood,Chemistry,243327,0.8,9.9,mimiciv_hosp.labevents,,Ratio
50904,"Cholesterol, HDL",Blood,Chemistry,243910,___,99,mimiciv_hosp.labevents,,mg/dL
50905,"Cholesterol, LDL, Calculated",Blood,Chemistry,222285,___,99,mimiciv_hosp.labevents,,mg/dL
50906,"Cholesterol, LDL, Measured",Blood,Chemistry,38085,___,99,mimiciv_hosp.labevents,,mg/dL
50907,"Cholesterol, Total",Blood,Chemistry,250219,___,99,mimiciv_hosp.labevents,,mg/dL
50908,CK-MB Index,Blood,Chemistry,25044,0.0,9.9,mimiciv_hosp.labevents,,%
50909,Cortisol,Blood,Chemistry,16,___,___,mimiciv_hosp.labevents,,
50909,Cortisol,Blood,Chemistry,25434,___,___,mimiciv_hosp.labevents,,ug/dL
50910,Creatine Kinase (CK),Blood,Chemistry,280804,___,9996,mimiciv_hosp.labevents,,IU/L
50911,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry,181836,___,99,mimiciv_hosp.labevents,,ng/mL
50912,Creatinine,Blood,Chemistry,3281300,___,9.9,mimiciv_hosp.labevents,,mg/dL
50913,Cryoglobulin,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,N/A
50913,Cryoglobulin,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50914,Cyclosporin,Blood,Chemistry,19276,___,99,mimiciv_hosp.labevents,,ng/mL
50915,D-Dimer,Blood,Chemistry,4691,___,___,mimiciv_hosp.labevents,,ng/mL FEU
50915,D-Dimer,Blood,Chemistry,14381,___,997,mimiciv_hosp.labevents,,ng/mL
50916,DHEA-Sulfate,Blood,Chemistry,1862,___,99,mimiciv_hosp.labevents,,ug/dL
50917,Digoxin,Blood,Chemistry,10992,___,3.9,mimiciv_hosp.labevents,,ng/mL
50918,Double Stranded DNA,Blood,Chemistry,1,NEG,NEG,mimiciv_hosp.labevents,,N/A
50918,Double Stranded DNA,Blood,Chemistry,1,POS,POS,mimiciv_hosp.labevents,,U/mL
50919,EDTA Hold,Blood,Chemistry,1,___,___,mimiciv_hosp.labevents,,
50920,Estimated GFR (MDRD equation),Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50921,Estradiol,Blood,Chemistry,2672,___,___,mimiciv_hosp.labevents,,pg/mL
50922,Ethanol,Blood,Chemistry,16911,___,NEG,mimiciv_hosp.labevents,,mg/dL
50924,Ferritin,Blood,Chemistry,137582,___,9998,mimiciv_hosp.labevents,,ng/mL
50925,Folate,Blood,Chemistry,38478,___,9.9,mimiciv_hosp.labevents,,ng/mL
50926,Follicle Stimulating Hormone,Blood,Chemistry,8506,___,___,mimiciv_hosp.labevents,,mIU/mL
50927,Gamma Glutamyltransferase,Blood,Chemistry,15633,___,999,mimiciv_hosp.labevents,,IU/L
50929,Gentamicin,Blood,Chemistry,2751,___,3.0,mimiciv_hosp.labevents,,ug/mL
50930,Globulin,Blood,Chemistry,126574,0.1,9.9,mimiciv_hosp.labevents,,g/dL
50931,Glucose,Blood,Chemistry,2749198,___,99,mimiciv_hosp.labevents,,mg/dL
50932,Gray Top Hold (plasma),Blood,Chemistry,7050,___,HOLD.  DISCARD AFTER THREE DAYS .,mimiciv_hosp.labevents,,
50933,Green Top Hold (plasma),Blood,Chemistry,303560,___,HOLD.  DISCARD GREATER THAN 4 HOURS OLD.,mimiciv_hosp.labevents,,
50934,H,Blood,Chemistry,703,0,98,mimiciv_hosp.labevents,,U
50934,H,Blood,Chemistry,1456559,___,999,mimiciv_hosp.labevents,,
50935,Haptoglobin,Blood,Chemistry,35728,___,99,mimiciv_hosp.labevents,,mg/dL
50937,Hepatitis A Virus Antibody,Blood,Chemistry,545,___,___,mimiciv_hosp.labevents,,Pos/Neg
50937,Hepatitis A Virus Antibody,Blood,Chemistry,4384,___,___,mimiciv_hosp.labevents,,N/A
50937,Hepatitis A Virus Antibody,Blood,Chemistry,12663,___,___,mimiciv_hosp.labevents,,
50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry,1399,___,___,mimiciv_hosp.labevents,,N/A
50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry,3669,___,___,mimiciv_hosp.labevents,,
50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry,460,___,___,mimiciv_hosp.labevents,,N/A
50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry,3175,___,___,mimiciv_hosp.labevents,,
50940,Hepatitis B Surface Antibody,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,N/A
50940,Hepatitis B Surface Antibody,Blood,Chemistry,5,7.9,POS,mimiciv_hosp.labevents,,
50941,Hepatitis B Surface Antigen,Blood,Chemistry,2,NEG,NEG,mimiciv_hosp.labevents,,
50941,Hepatitis B Surface Antigen,Blood,Chemistry,4,NEG,POS,mimiciv_hosp.labevents,,N/A
50942,Hepatitis B Virus Core Antibody,Blood,Chemistry,2,POSITIVE,POSITIVE,mimiciv_hosp.labevents,,
50942,Hepatitis B Virus Core Antibody,Blood,Chemistry,7,0.17,NEG,mimiciv_hosp.labevents,,N/A
50943,Hepatitis C Virus Antibody,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50943,Hepatitis C Virus Antibody,Blood,Chemistry,4,NEG,POS,mimiciv_hosp.labevents,,N/A
50945,Homocysteine,Blood,Chemistry,2297,___,9.9,mimiciv_hosp.labevents,,umol/L
50946,Human Chorionic Gonadotropin,Blood,Chemistry,14047,___,___,mimiciv_hosp.labevents,,mIU/mL
50947,I,Blood,Chemistry,706,0,7,mimiciv_hosp.labevents,,U
50947,I,Blood,Chemistry,1456533,___,9,mimiciv_hosp.labevents,,
50948,Immunofixation,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50949,Immunoglobulin A,Blood,Chemistry,41181,___,999,mimiciv_hosp.labevents,,mg/dL
50950,Immunoglobulin G,Blood,Chemistry,46252,___,999,mimiciv_hosp.labevents,,mg/dL
50951,Immunoglobulin M,Blood,Chemistry,35305,___,997,mimiciv_hosp.labevents,,mg/dL
50952,Iron,Blood,Chemistry,117284,___,99,mimiciv_hosp.labevents,,ug/dL
50953,"Iron Binding Capacity, Total",Blood,Chemistry,104901,100,99,mimiciv_hosp.labevents,,ug/dL
50954,Lactate Dehydrogenase (LD),Blood,Chemistry,473363,___,999,mimiciv_hosp.labevents,,IU/L
50955,Light Green Top Hold,Blood,Chemistry,228422,___,___,mimiciv_hosp.labevents,,
50956,Lipase,Blood,Chemistry,229519,___,A,mimiciv_hosp.labevents,,IU/L
50957,Lithium,Blood,Chemistry,6521,___,2.0,mimiciv_hosp.labevents,,mmol/L
50958,Luteinizing Hormone,Blood,Chemistry,5102,___,___,mimiciv_hosp.labevents,,mIU/mL
50959,Macro Prolactin,Blood,Chemistry,0,,,mimiciv_hosp.labevents,,
50960,Magnesium,Blood,Chemistry,2153904,___,4.5,mimiciv_hosp.labevents,,mg/dL
50961,Methotrexate,Blood,Chemistry,5371,___,0.10,mimiciv_hosp.labevents,,umol/L
50962,N-Acetylprocainamide (NAPA),Blood,Chemistry,20,0.6,9.1,mimiciv_hosp.labevents,,ug/mL
50963,NTproBNP,Blood,Chemistry,64449,___,52,mimiciv_hosp.labevents,,pg/mL
50964,"Osmolality, Measured",Blood,Chemistry,40275,___,326,mimiciv_hosp.labevents,,mOsm/kg
50965,Parathyroid Hormone,Blood,Chemistry,48945,___,999,mimiciv_hosp.labevents,,pg/mL
50966,Phenobarbital,Blood,Chemistry,3023,___,9.9,mimiciv_hosp.labevents,,ug/mL
50967,Phenytoin,Blood,Chemistry,21528,___,9.9,mimiciv_hosp.labevents,,ug/mL
50968,"Phenytoin, Free",Blood,Chemistry,678,___,4.0,mimiciv_hosp.labevents,,ug/mL
50969,"Phenytoin, Percent Free",Blood,Chemistry,678,10,9,mimiciv_hosp.labevents,,%
50970,Phosphate,Blood,Chemistry,2065818,___,9.9,mimiciv_hosp.labevents,,mg/dL
50971,Potassium,Blood,Chemistry,3148658,___,6.5,mimiciv_hosp.labevents,,mEq/L
50972,Procainamide,Blood,Chemistry,20,___,9.7,mimiciv_hosp.labevents,,ug/mL
50973,Prolactin,Blood,Chemistry,9620,___,___,mimiciv_hosp.labevents,,ng/mL
50974,Prostate Specific Antigen,Blood,Chemistry,16,___,___,mimiciv_hosp.labevents,,
50974,Prostate Specific Antigen,Blood,Chemistry,52924,___,9.9,mimiciv_hosp.labevents,,ng/mL
50975,Protein Electrophoresis,Blood,Chemistry,2,-,-,mimiciv_hosp.labevents,,
50976,"Protein, Total",Blood,Chemistry,159889,___,9.9,mimiciv_hosp.labevents,,g/dL
50978,Rapamycin,Blood,Chemistry,10485,___,9.9,mimiciv_hosp.labevents,,ng/mL
50979,Red Top Hold,Blood,Chemistry,1,0,0,mimiciv_hosp.labevents,,
50980,Rheumatoid Factor,Blood,Chemistry,7969,___,___,mimiciv_hosp.labevents,,IU/mL
50981,Salicylate,Blood,Chemistry,988,___,NEG,mimiciv_hosp.labevents,,mg/dL
50982,Sex Hormone Binding Globulin,Blood,Chemistry,7034,___,99,mimiciv_hosp.labevents,,nmol/L
50983,Sodium,Blood,Chemistry,3119339,___,150,mimiciv_hosp.labevents,,mEq/L
50986,tacroFK,Blood,Chemistry,93680,___,9.5,mimiciv_hosp.labevents,,ng/mL
50988,Testosterone,Blood,Chemistry,15565,___,999,mimiciv_hosp.labevents,,ng/dL
50989,"Testosterone, Free",Blood,Chemistry,1878,___,9.9,mimiciv_hosp.labevents,,pg/mL
50990,Theophylline,Blood,Chemistry,72,___,9.4,mimiciv_hosp.labevents,,ug/mL
50991,Thyroglobulin,Blood,Chemistry,1745,___,___,mimiciv_hosp.labevents,,ng/mL
50992,Thyroid Peroxidase Antibodies,Blood,Chemistry,1947,___,996,mimiciv_hosp.labevents,,IU/mL
50993,Thyroid Stimulating Hormone,Blood,Chemistry,87,0.35,9.9,mimiciv_hosp.labevents,,uU/ML
50993,Thyroid Stimulating Hormone,Blood,Chemistry,311106,___,9.9,mimiciv_hosp.labevents,,uIU/mL
50994,Thyroxine (T4),Blood,Chemistry,21272,___,9.9,mimiciv_hosp.labevents,,ug/dL
50995,"Thyroxine (T4), Free",Blood,Chemistry,101199,___,7.7,mimiciv_hosp.labevents,,ng/dL
50996,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry,15265,___,___,mimiciv_hosp.labevents,,units
50997,Tobramycin,Blood,Chemistry,1749,___,9.9,mimiciv_hosp.labevents,,ug/mL
50998,Transferrin,Blood,Chemistry,104957,___,99,mimiciv_hosp.labevents,,mg/dL
50999,Tricyclic Antidepressant Screen,Blood,Chemistry,5,___,NEG,mimiciv_hosp.labevents,,N/A
50999,Tricyclic Antidepressant Screen,Blood,Chemistry,57031,___,POS,mimiciv_hosp.labevents,,
51000,Triglycerides,Blood,Chemistry,249971,___,E,mimiciv_hosp.labevents,,mg/dL
51001,Triiodothyronine (T3),Blood,Chemistry,19185,___,99,mimiciv_hosp.labevents,,ng/dL
51003,Troponin T,Blood,Chemistry,149109,___,3.3,mimiciv_hosp.labevents,,ng/mL
51005,Uptake Ratio,Blood,Chemistry,7911,0.63,5.00,mimiciv_hosp.labevents,,Ratio
51006,Urea Nitrogen,Blood,Chemistry,3187681,___,99,mimiciv_hosp.labevents,,mg/dL
51007,Uric Acid,Blood,Chemistry,134457,___,9.9,mimiciv_hosp.labevents,,mg/dL
51008,Valproic Acid,Blood,Chemistry,10835,___,99,mimiciv_hosp.labevents,,ug/mL
51009,Vancomycin,Blood,Chemistry,98339,___,A,mimiciv_hosp.labevents,,ug/mL
51010,Vitamin B12,Blood,Chemistry,98787,___,999,mimiciv_hosp.labevents,,pg/mL
51019,"Albumin, Joint Fluid",Joint Fluid,Chemistry,8,1.5,3.5,mimiciv_hosp.labevents,,g/dL
51020,"Amylase, Joint Fluid",Joint Fluid,Chemistry,6,___,5,mimiciv_hosp.labevents,,IU/L
51021,"Creatinine, Joint Fluid",Joint Fluid,Chemistry,3,___,30.3,mimiciv_hosp.labevents,,mg/dL
51022,"Glucose, Joint Fluid",Joint Fluid,Chemistry,159,___,99,mimiciv_hosp.labevents,,mg/dL
51023,"LD, Joint Fluid",Joint Fluid,Chemistry,40,___,99,mimiciv_hosp.labevents,,IU/L
51024,"Total Protein, Joint Fluid",Joint Fluid,Chemistry,124,___,7.8,mimiciv_hosp.labevents,,g/dL
51025,"Albumin, Body Fluid",Other Body Fluid,Chemistry,552,___,5.0,mimiciv_hosp.labevents,,g/dL
51026,"Amylase, Body Fluid",Other Body Fluid,Chemistry,1279,___,99,mimiciv_hosp.labevents,,IU/L
51027,"Bicarbonate, Other Fluid",Other Body Fluid,Chemistry,164,___,98,mimiciv_hosp.labevents,,mEq/L
51028,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry,381,___,9.9,mimiciv_hosp.labevents,,mg/dL
51029,"Calcium, Body Fluid",Other Body Fluid,Chemistry,10,___,9.9,mimiciv_hosp.labevents,,mg/dL
51030,"Chloride, Body Fluid",Other Body Fluid,Chemistry,29,___,98,mimiciv_hosp.labevents,,mEq/L
51031,"Cholesterol, Body Fluid",Other Body Fluid,Chemistry,14,___,99,mimiciv_hosp.labevents,,mg/dL
51032,"Creatinine, Body Fluid",Other Body Fluid,Chemistry,406,___,8.8,mimiciv_hosp.labevents,,mg/dL
51033,FetalFN,Other Body Fluid,Chemistry,108,NEG,POS,mimiciv_hosp.labevents,,
51034,"Glucose, Body Fluid",Other Body Fluid,Chemistry,698,___,99,mimiciv_hosp.labevents,,mg/dL
51035,"LD, Body Fluid",Other Body Fluid,Chemistry,613,___,996,mimiciv_hosp.labevents,,IU/L
51036,"Lipase, Body Fluid",Other Body Fluid,Chemistry,45,___,709,mimiciv_hosp.labevents,,U/L
51037,"Magnesium, Body Fluid",Other Body Fluid,Chemistry,8,___,9.3,mimiciv_hosp.labevents,,mg/dL
51038,"Miscellaneous, Body Fluid",Other Body Fluid,Chemistry,7,___,___,mimiciv_hosp.labevents,,
51039,"Osmolality, Body Fluid",Other Body Fluid,Chemistry,10,205,529,mimiciv_hosp.labevents,,mOsm/kg
51040,"Phosphate, Body Fluid",Other Body Fluid,Chemistry,10,___,9.0,mimiciv_hosp.labevents,,mg/dL
51041,"Potassium, Body Fluid",Other Body Fluid,Chemistry,32,___,9.5,mimiciv_hosp.labevents,,mEq/L
51042,"Sodium, Body Fluid",Other Body Fluid,Chemistry,37,___,93,mimiciv_hosp.labevents,,mEq/L
51043,"Total Protein, Body Fluid",Other Body Fluid,Chemistry,682,___,7.7,mimiciv_hosp.labevents,,g/dL
51044,Triglycer,Other Body Fluid,Chemistry,135,___,97,mimiciv_hosp.labevents,,mg/dL
51045,"Urea Nitrogen, Body Fluid",Other Body Fluid,Chemistry,50,10,95,mimiciv_hosp.labevents,,mg/dL
51046,"Albumin, Pleural",Pleural,Chemistry,4136,___,64,mimiciv_hosp.labevents,,g/dL
51047,"Amylase, Pleural",Pleural,Chemistry,1855,___,969,mimiciv_hosp.labevents,,IU/L
51048,"Bicarbonate, Pleural",Pleural,Chemistry,3,16,31,mimiciv_hosp.labevents,,mEq/L
51049,"Bilirubin, Total, Pleural",Pleural,Chemistry,169,___,9.2,mimiciv_hosp.labevents,,mg/dL
51050,"Chloride, Pleural",Pleural,Chemistry,2,109,110,mimiciv_hosp.labevents,,mEq/L
51051,"Cholesterol, Pleural",Pleural,Chemistry,4453,___,99,mimiciv_hosp.labevents,,mg/dL
51052,"Creatinine, Pleural",Pleural,Chemistry,1270,___,9.6,mimiciv_hosp.labevents,,mg/dL
51053,"Glucose, Pleural",Pleural,Chemistry,6748,___,99,mimiciv_hosp.labevents,,mg/dL
51054,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry,7384,___,998,mimiciv_hosp.labevents,,IU/L
51055,"Lipase, Pleural",Pleural,Chemistry,9,___,8,mimiciv_hosp.labevents,,U/L
51056,"Miscellaneous, Pleural",Pleural,Chemistry,7,___,___,mimiciv_hosp.labevents,,
51057,"Potassium, Pleural",Pleural,Chemistry,5,4.0,4.6,mimiciv_hosp.labevents,,mEq/L
51058,"Sodium, Pleural",Pleural,Chemistry,5,134,148,mimiciv_hosp.labevents,,mEq/L
51059,"Total Protein, Pleural",Pleural,Chemistry,7369,___,9.2,mimiciv_hosp.labevents,,g/dL
51060,"Triglycerides, Pleural",Pleural,Chemistry,1550,___,99,mimiciv_hosp.labevents,,mg/dL
51061,"Bicarbonate, Stool",Stool,Chemistry,30,___,7,mimiciv_hosp.labevents,,mEq/L
51062,"Chloride, Stool",Stool,Chemistry,84,10,99,mimiciv_hosp.labevents,,mEq/L
51063,"Osmolality, Stool",Stool,Chemistry,216,___,84,mimiciv_hosp.labevents,,mOsm/kg
51064,"Potassium, Stool",Stool,Chemistry,201,___,9.9,mimiciv_hosp.labevents,,mEq/L
51065,"Sodium, Stool",Stool,Chemistry,210,___,98,mimiciv_hosp.labevents,,mEq/L
